category_name,name,url,status
Nhám tờ,"Bộ giấy chà nhám tam giác (đen) Makita B-21733 (120,240,400,600,1200)",https://super-mro.com/san-pham/bo-giay-cha-nham-tam-giac-den-makita-b-21733-120-240-400-600-1200.html,0
Nhám tờ,"Bộ giấy chà nhám tam giác (màu đỏ) Makita B-21618 (60,80,120,180,240)",https://super-mro.com/san-pham/bo-giay-cha-nham-tam-giac-mau-do-makita-b-21618-60-80-120-180-240.html,0
Nhám tờ,"Bộ giấy chà nhám tam giác (trắng) Makita B-21674 60,80,100,240,320",https://super-mro.com/san-pham/bo-giay-cha-nham-tam-giac-trang-makita-b-21674-60-80-100-240-320.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66379 230x280mm 10 cái/bộ(cỡ hạt 180),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66379-230x280mm-10-cai-bo-co-hat-180.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66385 230x280mm 10 cái/bộ(cỡ hạt 240),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66385-230x280mm-10-cai-bo-co-hat-240.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66391 230x280mm 10 cái/bộ(cỡ hạt 320),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66391-230x280mm-10-cai-bo-co-hat-320.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66313 230x280mm 10 cái/bộ(cỡ hạt 40),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66313-230x280mm-10-cai-bo-co-hat-40.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66400 230x280mm 10 cái/bộ(cỡ hạt 400),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66400-230x280mm-10-cai-bo-co-hat-400.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66329 230x280mm 10 cái/bộ(cỡ hạt 60),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66329-230x280mm-10-cai-bo-co-hat-60.html,0
Nhám tờ,Giấy chà nhám cho gỗ Makita D-66335 230x280mm 10 cái/bộ(cỡ hạt 80),https://super-mro.com/san-pham/giay-cha-nham-cho-go-makita-d-66335-230x280mm-10-cai-bo-co-hat-80.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66525 230x280mm 10 cái/bộ (cỡ hạt 100),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66525-230x280mm-10-cai-bo-co-hat-100.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66531 230x280mm 10 cái/bộ (cỡ hạt 120),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66531-230x280mm-10-cai-bo-co-hat-120.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66547 230x280mm 10 cái/bộ (cỡ hạt 150),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66547-230x280mm-10-cai-bo-co-hat-150.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66553 230x280mm 10 cái/bộ (cỡ hạt 180),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66553-230x280mm-10-cai-bo-co-hat-180.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66569 230x280mm 10 cái/bộ (cỡ hạt 240),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66569-230x280mm-10-cai-bo-co-hat-240.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66488 230x280mm 10 cái/bộ (cỡ hạt 36),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66488-230x280mm-10-cai-bo-co-hat-36.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66494 230x280mm 10 cái/bộ (cỡ hạt 40),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66494-230x280mm-10-cai-bo-co-hat-40.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66503 230x280mm 10 cái/bộ (cỡ hạt 60),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66503-230x280mm-10-cai-bo-co-hat-60.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-66519 230x280mm 10 cái/bộ (cỡ hạt 80),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-66519-230x280mm-10-cai-bo-co-hat-80.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56714 230x280mm 50 cái/bộ (cỡ hạt 100),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56714-230x280mm-50-cai-bo-co-hat-100.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56736 230x280mm 50 cái/bộ (cỡ hạt 150),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56736-230x280mm-50-cai-bo-co-hat-150.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56677 230x280mm 50 cái/bộ (cỡ hạt 36),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56677-230x280mm-50-cai-bo-co-hat-36.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56699 230x280mm 50 cái/bộ (cỡ hạt 60),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56699-230x280mm-50-cai-bo-co-hat-60.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56720 50 cái/bộ (cỡ hạt 120),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56720-50-cai-bo-co-hat-120.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56683 50 cái/bộ (cỡ hạt 40),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56683-50-cai-bo-co-hat-40.html,0
Nhám tờ,Giấy chà nhám cho kim loại Makita D-56708 50 cái/bộ (cỡ hạt 80),https://super-mro.com/san-pham/giay-cha-nham-cho-kim-loai-makita-d-56708-50-cai-bo-co-hat-80.html,0
